reviewSorter	reviewCode	comparisonNo	outcomeNo	subGroupNo	subGroupNo_old	study	year	n1	N1	n2	N2	sorter	method	_merge	methods_string
1	cd000004	1	2	0	0	Blecher 1967	1967	25	80	22	80	1	4	3	RR Fixed (MH)
1	cd000004	1	2	0	0	Varma 1973	1973	37	70	42	70	1	4	3	RR Fixed (MH)
1	cd000004	1	5	0	0	Varma 1973	1973	18	70	58	70	2	4	3	RR Fixed (MH)
1	cd000004	1	5	0	0	Blecher 1967	1967	40	84	55	80	2	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	MacRae 1971	1971	1	28	2	28	3	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	Varma 1973	1973	2	70	8	70	3	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	Blecher 1967	1967	10	84	24	87	3	4	3	RR Fixed (MH)
2	cd000005	1	7	0	0	Van Dongen 1989	1989	3	44	7	45	4	1	3	peto OR
2	cd000005	1	7	0	0	Dargent 1990	1990	3	45	7	58	4	1	3	peto OR
2	cd000005	1	7	0	0	Villeneuve 1990	1990	4	98	6	102	4	1	3	peto OR
2	cd000005	1	8	0	0	Dargent 1990	1990	3	45	2	58	5	1	3	peto OR
2	cd000005	1	8	0	0	Van Dongen 1989	1989	10	44	9	45	5	1	3	peto OR
3	cd000006	1	1	1	1	Banninger 1978	1978	14	80	29	73	6	1	3	peto OR
3	cd000006	1	1	1	1	Roberts 1983	1983	23	88	29	84	6	1	3	peto OR
3	cd000006	1	1	1	1	Livingstone 1974	1974	39	50	48	50	6	1	3	peto OR
3	cd000006	1	1	1	1	Olah 1990	1990	48	60	56	60	6	1	3	peto OR
3	cd000006	1	1	1	1	Beard 1974	1974	64	100	72	100	6	1	3	peto OR
3	cd000006	1	1	1	1	Mahomed 1989	1989	130	270	134	253	6	1	3	peto OR
3	cd000006	1	1	1	1	Rogers 1974	1974	155	299	225	301	6	1	3	peto OR
3	cd000006	1	1	1	1	Mackrodt 1998	1998	523	886	591	888	6	1	3	peto OR
3	cd000006	1	1	2	2	Banninger 1978	1978	8	80	14	73	7	1	3	peto OR
3	cd000006	1	1	2	2	Olah 1990	1990	16	60	27	60	7	1	3	peto OR
3	cd000006	1	1	2	2	Mackrodt 1998	1998	208	884	257	887	7	1	3	peto OR
3	cd000006	1	2	0	0	Beard 1974	1974	21	100	36	100	8	1	3	peto OR
3	cd000006	1	2	0	0	Banninger 1978	1978	24	80	32	73	8	1	3	peto OR
3	cd000006	1	2	0	0	Roberts 1983	1983	32	88	49	84	8	1	3	peto OR
3	cd000006	1	2	0	0	Mackrodt 1998	1998	56	884	86	887	8	1	3	peto OR
3	cd000006	1	2	0	0	Mahomed 1989	1989	129	270	135	254	8	1	3	peto OR
3	cd000006	1	3	0	0	Livingstone 1974	1974	5	50	8	50	9	1	3	peto OR
3	cd000006	1	3	0	0	Mackrodt 1998	1998	5	884	7	887	9	1	3	peto OR
3	cd000006	1	3	0	0	Banninger 1978	1978	12	77	37	71	9	1	3	peto OR
3	cd000006	1	3	0	0	Beard 1974	1974	12	100	11	100	9	1	3	peto OR
3	cd000006	1	4	0	0	Banninger 1978	1978	0	80	2	73	10	1	3	peto OR
3	cd000006	1	4	0	0	Mahomed 1989	1989	0	232	3	233	10	1	3	peto OR
3	cd000006	1	4	0	0	Mackrodt 1998	1998	3	829	10	835	10	1	3	peto OR
3	cd000006	1	5	0	0	Mahomed 1989	1989	25	232	28	233	11	1	3	peto OR
3	cd000006	1	5	0	0	Mackrodt 1998	1998	67	829	84	835	11	1	3	peto OR
3	cd000006	1	6	0	0	Banninger 1978	1978	4	25	4	21	12	1	3	peto OR
3	cd000006	1	6	0	0	Mahomed 1989	1989	25	232	28	233	12	1	3	peto OR
3	cd000006	1	6	0	0	Mackrodt 1998	1998	142	829	148	835	12	1	3	peto OR
3	cd000006	1	7	0	0	Mahomed 1989	1989	94	232	48	233	13	1	3	peto OR
3	cd000006	1	7	0	0	Mackrodt 1998	1998	97	829	60	835	13	1	3	peto OR
4	cd000007	1	1	0	0	Dublin 1990	1990	14	705	60	724	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Abu Dhabi 1997	1997	48	827	90	821	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Bristol 1988	1988	50	846	152	849	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Hinchingbrooke 1998	1998	51	748	126	764	14	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Dublin 1990	1990	1	705	11	724	15	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Abu Dhabi 1997	1997	6	827	26	821	15	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Bristol 1988	1988	7	846	26	849	15	4	3	RR Fixed (MH)
